States,2012 Number,2012 Acre,2007 Number,2007 Acre,FIPS,2014 Organic Farms,% organic
Alabama,43228,8905236,48753,9033537,1,28,6.477283242
Alaska,762,833861,686,881585,2,17,223.0971129
Arizona,20012,26249462,15637,13810826,4,61,30.48171097
Arkansas,45072,13810826,49346,13872862,5,34,7.543485978
California,77864,25571821,81033,25364695,6,2805,360.2435015
Colorado,36180,31886676,37054,31604911,8,157,43.39414041
Connecticut,5977,436406,4916,405616,9,122,204.1157771
Delaware,2457,508654,2546,510253,10,10,40.7000407
Florida,47740,9548342,47463,9231570,12,166,34.77167993
Georgia,42257,9620836,47846,10150539,13,117,27.68772038
Hawaii,7013,1163152,7521,1121329,15,166,236.7032654
Idaho,24814,11759917,25349,11497383,16,161,64.88272749
Illinois,75087,26937721,76860,26775100,17,249,33.16153262
Indiana,58695,14720396,60938,14773184,18,282,48.04497828
Iowa,88631,30615357,92856,30747550,19,612,69.05033228
Kansas,61773,46137295,65531,46345827,20,83,13.43629094
Kentucky,77064,13049347,85260,13993121,21,107,13.88456348
Louisiana,28093,7900865,30106,8109975,22,23,8.18709287
Maine,8174,1455304,8136,1347566,23,517,632.4932713
Maryland,12256,2030745,12834,2051756,24,120,97.91122715
Massachusetts,7755,523517,7691,517879,25,179,230.8188266
Michigan,52194,9948564,56014,10031807,26,332,63.60884393
Minnesota,74537,26038539,80992,26917962,27,512,68.69071736
Mississippi,38089,10933810,41959,11456241,28,8,2.100343931
Missouri,99170,28266102,107825,29026573,29,216,21.78078048
Montana,28008,59758917,29524,61388462,30,147,52.48500428
Nebraska,49969,45331783,47712,45480358,31,170,34.02109308
Nevada,4157,5916891,3131,5865392,32,49,117.8734664
New Hampshire,4391,474065,4166,471911,33,150,341.6078342
New Jersey,9071,715057,10327,733450,34,87,95.91004299
New Mexico,24721,43201023,20930,43238049,35,116,46.92366814
New York,35538,7183579,36352,7174743,36,917,258.0336541
North Carolina,50210,8412111,52913,8474671,37,264,52.5791675
North Dakota,30961,39262613,31970,39674586,38,94,30.36077646
Ohio,75462,13960604,75861,13956563,39,541,71.69171239
Oklahoma,80245,34356110,86565,35087269,40,45,5.607826033
Oregon,35439,16301578,59302,7703414,41,525,148.1418776
Pennsylvania,59302,7703414,63163,7809244,42,679,114.4986678
Rhode Island,1243,69589,1219,67819,44,24,193.081255
South Carolina,25266,4971244,25867,4889339,45,47,18.60207393
South Dakota,31989,43257079,31169,43666403,46,80,25.00859671
Tennessee,68050,10867812,79280,10969798,47,54,7.935341661
Texas,248810,130159726,247437,130398753,48,234,9.404766689
Utah,18027,10973696,16700,11094700,49,60,33.28340822
Vermont,7338,1251713,6984,1233313,50,542,738.6208776
Virginia,46036,8333196,47383,8103925,51,167,36.27595795
Washington,37249,14748120,39284,14972789,53,716,192.2199254
West Virginia,21489,3606674,23618,3697606,54,24,11.16850482
Wisconsin,69756,14569743,78463,15190804,55,1228,176.0422043
Wyoming,11742,30363938,11069,30169526,56,49,41.73053994
